p			Desafio Técnico

f	FAZENDA 00001
a	374586	2025	30_01_2025
r	01MO	g.dm-3	17,35
r	01PHCACl2		5,11
r	01PRES	mg.dm-3	9,30
r	01K	mmolc.dm-3	2,38
r	01CA	mmolc.dm-3	16,07
r	01MG	mmolc.dm-3	9,13
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	25,51
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	25,51
r	01SB	mmolc.dm-3	27,58
r	01CTC	mmolc.dm-3	53,09
r	01V	%	51,95
r	01M	%	0
r	01KCTC	%	4,48
r	01CACTC	%	30,27
r	01MGCTC	%	17,20
r	01CAMG	%	47,47

f	FAZENDA 00001
a	374587	2025	30_01_2025
r	01MO	g.dm-3	12,92
r	01PHCACl2		4,78
r	01PRES	mg.dm-3	6,71
r	01K	mmolc.dm-3	2,17
r	01CA	mmolc.dm-3	9,91
r	01MG	mmolc.dm-3	6,41
r	01AL	mmolc.dm-3	1,40
r	01H+Al	mmolc.dm-3	28,05
r	01S	mg.dm-3	10,36
r	01H	mmolc.dm-3	28,05
r	01SB	mmolc.dm-3	18,49
r	01CTC	mmolc.dm-3	46,54
r	01V	%	39,74
r	01M	%	7,06
r	01KCTC	%	4,66
r	01CACTC	%	21,30
r	01MGCTC	%	13,78
r	01CAMG	%	35,07

f	FAZENDA 00001
a	374588	2025	30_01_2025
r	01MO	g.dm-3	7,54
r	01PHCACl2		5,37
r	01PRES	mg.dm-3	7,29
r	01K	mmolc.dm-3	1,58
r	01CA	mmolc.dm-3	13,27
r	01MG	mmolc.dm-3	6,81
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	16,39
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	16,39
r	01SB	mmolc.dm-3	21,66
r	01CTC	mmolc.dm-3	38,05
r	01V	%	56,92
r	01M	%	0
r	01KCTC	%	4,15
r	01CACTC	%	34,86
r	01MGCTC	%	17,91
r	01CAMG	%	52,77

f	FAZENDA 00001
a	374589	2025	30_01_2025
r	01MO	g.dm-3	6,96
r	01PHCACl2		5,36
r	01PRES	mg.dm-3	7,29
r	01K	mmolc.dm-3	1,45
r	01CA	mmolc.dm-3	13,24
r	01MG	mmolc.dm-3	7,17
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	16,05
r	01S	mg.dm-3	5,14
r	01H	mmolc.dm-3	16,05
r	01SB	mmolc.dm-3	21,86
r	01CTC	mmolc.dm-3	37,91
r	01V	%	57,66
r	01M	%	0
r	01KCTC	%	3,83
r	01CACTC	%	34,93
r	01MGCTC	%	18,90
r	01CAMG	%	53,83

f	FAZENDA 00002
a	374592	2025	30_01_2025
r	01MO	g.dm-3	5,81
r	01PHCACl2		5,61
r	01PRES	mg.dm-3	5,27
r	01K	mmolc.dm-3	2,34
r	01CA	mmolc.dm-3	11,57
r	01MG	mmolc.dm-3	6,10
